document_id,property_id,document_type,document_name,file_format,file_size_mb,created_date,last_modified,document_status,access_level,key_terms_extracted,has_signatures,requires_renewal,expiry_date
DOC_000001,CBRE_00001,Lease Agreement,CBRE_00001_Lease_Agreement_1.pdf,pdf,2.61,2021-08-26,2023-09-04,Active,Confidential,"rent, term, renewal, escalation, cam",True,True,2026-05-03
DOC_000002,CBRE_00001,Property Inspection Report,CBRE_00001_Property_Inspection_Report_1.pdf,pdf,0.85,2023-07-05,2024-10-24,Active,Confidential,"hvac, roof, structural, safety, code",False,False,
DOC_000003,CBRE_00001,Financial Statement,CBRE_00001_Financial_Statement_1.xlsx,xlsx,4.94,2024-07-05,2023-04-19,Active,Confidential,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000004,CBRE_00001,Financial Statement,CBRE_00001_Financial_Statement_2.xlsx,xlsx,3.32,2021-03-17,2023-05-17,Active,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000005,CBRE_00001,Financial Statement,CBRE_00001_Financial_Statement_3.xlsx,xlsx,4.27,2021-12-02,2024-11-13,Draft,Internal,"noi, revenue, expenses, capex, cash flow",False,False,
DOC_000006,CBRE_00001,Energy Audit,CBRE_00001_Energy_Audit_1.pdf,pdf,3.04,2022-09-17,2023-12-03,Active,Confidential,"consumption, efficiency, hvac, lighting, recommendations",False,False,
DOC_000007,CBRE_00001,Appraisal Report,CBRE_00001_Appraisal_Report_1.pdf,pdf,0.82,2024-03-09,2023-02-08,Archived,Internal,"value, comparables, market, highest best use, cap rate",False,False,
DOC_000008,CBRE_00001,Insurance Policy,CBRE_00001_Insurance_Policy_1.pdf,pdf,3.07,2023-09-01,2023-07-10,Active,Internal,"general, property, management",True,True,2027-03-17
DOC_000009,CBRE_00001,Maintenance Log,CBRE_00001_Maintenance_Log_1.csv,csv,0.55,2022-03-18,2024-09-15,Draft,Confidential,"general, property, management",False,False,
DOC_000010,CBRE_00001,Maintenance Log,CBRE_00001_Maintenance_Log_2.csv,csv,1.09,2023-03-09,2024-02-09,Active,Public,"general, property, management",False,False,
DOC_000011,CBRE_00001,Maintenance Log,CBRE_00001_Maintenance_Log_3.csv,csv,4.1,2024-07-24,2024-06-08,Archived,Public,"general, property, management",False,False,
